run_name,algorithm,difficulty,seed,device,status,stdout_log,stderr_log,metrics_csv
ppo_pogo_stick_easy_seed1_300eps,ppo,easy,1,cpu,queued,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_easy_seed1_300eps\stdout.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_easy_seed1_300eps\stderr.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_easy_seed1_300eps\episode_metrics.csv
ppo_pogo_stick_easy_seed2_300eps,ppo,easy,2,cpu,queued,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_easy_seed2_300eps\stdout.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_easy_seed2_300eps\stderr.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_easy_seed2_300eps\episode_metrics.csv
ppo_pogo_stick_easy_seed3_300eps,ppo,easy,3,cpu,queued,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_easy_seed3_300eps\stdout.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_easy_seed3_300eps\stderr.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_easy_seed3_300eps\episode_metrics.csv
ppo_pogo_stick_easy_seed4_300eps,ppo,easy,4,cpu,queued,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_easy_seed4_300eps\stdout.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_easy_seed4_300eps\stderr.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_easy_seed4_300eps\episode_metrics.csv
ppo_pogo_stick_medium_seed0_300eps,ppo,medium,0,cpu,queued,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_medium_seed0_300eps\stdout.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_medium_seed0_300eps\stderr.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_medium_seed0_300eps\episode_metrics.csv
ppo_pogo_stick_medium_seed1_300eps,ppo,medium,1,cpu,queued,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_medium_seed1_300eps\stdout.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_medium_seed1_300eps\stderr.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_medium_seed1_300eps\episode_metrics.csv
ppo_pogo_stick_medium_seed2_300eps,ppo,medium,2,cpu,queued,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_medium_seed2_300eps\stdout.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_medium_seed2_300eps\stderr.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_medium_seed2_300eps\episode_metrics.csv
ppo_pogo_stick_medium_seed3_300eps,ppo,medium,3,cpu,queued,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_medium_seed3_300eps\stdout.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_medium_seed3_300eps\stderr.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_medium_seed3_300eps\episode_metrics.csv
ppo_pogo_stick_medium_seed4_300eps,ppo,medium,4,cpu,queued,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_medium_seed4_300eps\stdout.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_medium_seed4_300eps\stderr.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_medium_seed4_300eps\episode_metrics.csv
ppo_pogo_stick_hard_seed0_300eps,ppo,hard,0,cpu,queued,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_hard_seed0_300eps\stdout.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_hard_seed0_300eps\stderr.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_hard_seed0_300eps\episode_metrics.csv
ppo_pogo_stick_hard_seed1_300eps,ppo,hard,1,cpu,queued,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_hard_seed1_300eps\stdout.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_hard_seed1_300eps\stderr.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_hard_seed1_300eps\episode_metrics.csv
ppo_pogo_stick_hard_seed2_300eps,ppo,hard,2,cpu,queued,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_hard_seed2_300eps\stdout.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_hard_seed2_300eps\stderr.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_hard_seed2_300eps\episode_metrics.csv
ppo_pogo_stick_hard_seed3_300eps,ppo,hard,3,cpu,queued,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_hard_seed3_300eps\stdout.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_hard_seed3_300eps\stderr.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_hard_seed3_300eps\episode_metrics.csv
ppo_pogo_stick_hard_seed4_300eps,ppo,hard,4,cpu,queued,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_hard_seed4_300eps\stdout.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_hard_seed4_300eps\stderr.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\ppo_pogo_stick_hard_seed4_300eps\episode_metrics.csv
her_pogo_stick_easy_seed0_300eps,her,easy,0,cpu,queued,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_easy_seed0_300eps\stdout.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_easy_seed0_300eps\stderr.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_easy_seed0_300eps\episode_metrics.csv
her_pogo_stick_easy_seed1_300eps,her,easy,1,cpu,queued,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_easy_seed1_300eps\stdout.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_easy_seed1_300eps\stderr.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_easy_seed1_300eps\episode_metrics.csv
her_pogo_stick_easy_seed2_300eps,her,easy,2,cpu,queued,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_easy_seed2_300eps\stdout.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_easy_seed2_300eps\stderr.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_easy_seed2_300eps\episode_metrics.csv
her_pogo_stick_easy_seed3_300eps,her,easy,3,cpu,queued,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_easy_seed3_300eps\stdout.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_easy_seed3_300eps\stderr.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_easy_seed3_300eps\episode_metrics.csv
her_pogo_stick_easy_seed4_300eps,her,easy,4,cpu,queued,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_easy_seed4_300eps\stdout.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_easy_seed4_300eps\stderr.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_easy_seed4_300eps\episode_metrics.csv
her_pogo_stick_medium_seed0_300eps,her,medium,0,cpu,queued,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_medium_seed0_300eps\stdout.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_medium_seed0_300eps\stderr.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_medium_seed0_300eps\episode_metrics.csv
her_pogo_stick_medium_seed1_300eps,her,medium,1,cpu,queued,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_medium_seed1_300eps\stdout.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_medium_seed1_300eps\stderr.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_medium_seed1_300eps\episode_metrics.csv
her_pogo_stick_medium_seed2_300eps,her,medium,2,cpu,queued,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_medium_seed2_300eps\stdout.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_medium_seed2_300eps\stderr.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_medium_seed2_300eps\episode_metrics.csv
her_pogo_stick_medium_seed3_300eps,her,medium,3,cpu,queued,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_medium_seed3_300eps\stdout.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_medium_seed3_300eps\stderr.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_medium_seed3_300eps\episode_metrics.csv
her_pogo_stick_medium_seed4_300eps,her,medium,4,cpu,queued,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_medium_seed4_300eps\stdout.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_medium_seed4_300eps\stderr.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_medium_seed4_300eps\episode_metrics.csv
her_pogo_stick_hard_seed0_300eps,her,hard,0,cpu,queued,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_hard_seed0_300eps\stdout.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_hard_seed0_300eps\stderr.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_hard_seed0_300eps\episode_metrics.csv
her_pogo_stick_hard_seed1_300eps,her,hard,1,cpu,queued,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_hard_seed1_300eps\stdout.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_hard_seed1_300eps\stderr.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_hard_seed1_300eps\episode_metrics.csv
her_pogo_stick_hard_seed2_300eps,her,hard,2,cpu,queued,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_hard_seed2_300eps\stdout.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_hard_seed2_300eps\stderr.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_hard_seed2_300eps\episode_metrics.csv
her_pogo_stick_hard_seed3_300eps,her,hard,3,cpu,queued,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_hard_seed3_300eps\stdout.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_hard_seed3_300eps\stderr.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_hard_seed3_300eps\episode_metrics.csv
her_pogo_stick_hard_seed4_300eps,her,hard,4,cpu,queued,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_hard_seed4_300eps\stdout.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_hard_seed4_300eps\stderr.log,C:\Users\Arik\Documents\uni\ResearchMethods\logs\pogostick_sensitivity_20260624\her_pogo_stick_hard_seed4_300eps\episode_metrics.csv
